Samples	Lat	Lon	Elev	MAT	MAP	Clay	Silt	Sand	pH	SOC	TN	CN	SWC
iSBio300	48.396	9.439	727.75	8.683343887	833.9350281	27.7	54.6	17.7	5.742166062	8.616844	0.839434	10.26506432	28.22240944
iSBio304	48.391	9.377	754.5	8.337503195	837.7200012	32.9	54.4	12.4	7.302415375	10.090854	0.514102	19.6281166	17.99434558
iSBio306	48.423	9.492	741.25	8.449991226	846.9200134	32.55	54.45	13	6.428695158	8.832889	0.795484	11.10379216	23.759703
iSBio308	48.395	9.503	744.75	8.416665792	854.9700012	32.7	57	10.5	6.494321374	7.524817	0.614022	12.25496318	20.98681987
iSBio310	48.379	9.213	747.5	8.520822525	865.6650085	34.05	54.1	11.9	5.404520539	9.448785	0.902224	10.47277062	30.11459387
iSBio312	48.488	9.449	740	8.47918129	811.519989	32.8	55	12.5	5.363891166	6.685955	0.662375	10.09391206	25.70856952
iSBio314	48.383	9.521	749.5	8.504175186	852.1849976	32.5	58.2	9.6	6.823626287	7.424685	0.69181	10.7322603	26.45247212
iSBio318	48.404	9.513	758.25	8.30832839	858.1000061	32.9	55.85	11.35	5.594227261	6.478456	0.586811	11.04010661	25.52870091
iSBio320	48.395	9.404	712.5	8.79583168	830.8599854	27.45	55.25	17.45	6.681147361	10.75475	0.858802	12.52296804	20.09665056
iSBio322	48.456	9.457	712.25	8.804162979	829.1600037	32.4	53.1	14.5	5.263423755	5.54861	0.541687	10.24320318	25.49630845
iSBio326	48.451	9.491	757.5	8.24999404	843.6750183	32.35	55.05	12.7	5.291004281	4.547276	0.437647	10.39028258	27.25758081
iSBio328	48.439	9.425	771.5	8.125009298	864.8500061	32.7	55.1	12.35	5.385715384	6.513835	0.658828	9.887003892	28.48250336
iSBio330	48.394	9.426	715.5	8.833337784	833.0549927	29.5	51.7	19.1	5.589415912	7.6435	0.735684	10.38965099	28.08310992
iSBio331	48.401	9.458	728	8.67499733	844.5449829	29.6	54.8	14.7	4.989565488	4.40502	0.487689	9.032436655	23.41439369
iSBio334	48.397	9.435	713.75	8.683343887	833.9350281	27.7	53.95	18.05	6.638620162	8.95116	0.929622	9.628816874	26.27305025
iSBio336	48.457	9.505	752.25	8.18749404	871.4750061	32.6	55.35	12.3	5.705778756	5.505497	0.51289	10.73426466	21.75421209
iSBio337	47.9166667	20.4333333	312.5	10.72083473	608.4649963	45.5	44.5	10	5.370867722	6.831078	0.498065	13.71523396	19.50906237
iSBio338	47.9166667	20.4333333	312.5	10.72083473	608.4649963	45.5	44.5	10	5.370867722	6.831078	0.498065	13.71523396	17.58743754
iSBio342	46.6769444	10.5761111	1069.5	7.299996853	543.7550049	18.75	30.5	50.75	5.0075	6.320833333	0.51763375	12.21101471	4.408024866
iSBio344	46.6844444	10.5852778	1490	4.316674709	640.9200134	18.75	30.5	50.75	5.0075	6.320833333	0.51763375	12.21101471	5.912743972
iSBio346	46.6916667	10.5925	1953.5	1.491662621	754.4649963	18.75	30.5	50.75	5.0075	6.320833333	0.51763375	12.21101471	16.17021277
iSBio349	39.1115	140.8553	493	9.416666031	2997.035034	24.75	36.35	38.9	4.89343623	38.727806	2.063676	18.76641779	64.50518755
iSBio352	33.6527778	130.5452778	469.5	15.14167213	1917.080017	31.55	36.85	31.8	3.8825	7.6325	0.505	15.11386139	36.46960866
